time,local atmospheric pressure (hPa),sea level pressure (hPa),precipitation (mm),temperature (℃),relative humidity,average wind speed (m/s),average wind direction,max wind speed (m/s),max wind direction,sunshine (minutes)
2024-03-09 07:30:00+09:00,1005.5,1008.5,--,4.2,79,2.3,NW,4.1,NNW,10
2024-03-09 07:40:00+09:00,1005.6,1008.6,--,4.8,77,2.9,NW,6.1,NW,10
2024-03-09 07:50:00+09:00,1005.8,1008.8,--,5.3,73,3.0,NW,6.7,NW,10
2024-03-09 08:00:00+09:00,1005.9,1008.9,--,5.9,69,3.3,NW,5.8,NW,10
2024-03-09 08:10:00+09:00,1006.0,1009.0,--,5.9,65,3.7,NW,8.3,NW,10
2024-03-09 08:20:00+09:00,1006.1,1009.1,--,6.3,62,3.0,NW,6.9,NW,10
2024-03-09 08:30:00+09:00,1006.1,1009.1,--,6.7,61,4.6,NW,9.1,NW,10
2024-03-09 08:40:00+09:00,1006.2,1009.2,--,6.9,57,5.2,NW,10.6,NW,10
2024-03-09 08:50:00+09:00,1006.3,1009.3,--,7.2,55,5.1,NW,10.3,NW,10
2024-03-09 09:00:00+09:00,1006.4,1009.4,--,7.8,52,5.2,NW,12.0,NW,10
2024-03-09 09:10:00+09:00,1006.5,1009.5,--,7.7,48,7.9,NW,15.4,WNW,10
2024-03-09 09:20:00+09:00,1006.7,1009.7,--,7.7,49,7.0,NW,13.7,NW,10
2024-03-09 09:30:00+09:00,1006.9,1009.8,--,8.3,49,5.8,NW,12.0,NW,10
2024-03-09 09:40:00+09:00,1007.1,1010.1,--,7.5,49,6.9,NW,16.3,WNW,10
2024-03-09 09:50:00+09:00,1007.2,1010.2,--,8.1,52,5.7,NW,11.3,WNW,10
2024-03-09 10:00:00+09:00,1007.4,1010.4,--,7.5,47,7.1,NW,17.8,NW,10
2024-03-09 10:10:00+09:00,1007.4,1010.4,--,7.6,42,6.6,NW,12.0,NW,10
2024-03-09 10:20:00+09:00,1007.3,1010.3,--,8.1,44,6.1,NW,15.3,NW,10
2024-03-09 10:30:00+09:00,1007.2,1010.2,--,7.8,40,6.2,NW,12.4,NW,10
2024-03-09 10:40:00+09:00,1007.1,1010.0,--,8.5,42,5.3,NW,14.7,WNW,10
2024-03-09 10:50:00+09:00,1007.2,1010.1,--,8.5,41,8.1,NW,16.5,WNW,10
2024-03-09 11:00:00+09:00,1007.0,1009.9,--,9.7,41,6.6,NW,13.9,WNW,10
2024-03-09 11:10:00+09:00,1007.1,1010.0,--,9.2,37,5.5,NW,12.9,NW,10
2024-03-09 11:20:00+09:00,1006.9,1009.8,--,9.2,32,6.0,NW,13.9,NW,10
2024-03-09 11:30:00+09:00,1006.8,1009.7,--,9.8,33,5.4,NW,12.7,WNW,10
2024-03-09 11:40:00+09:00,1006.6,1009.5,--,9.7,30,6.0,NW,11.7,NW,10
2024-03-09 11:50:00+09:00,1006.5,1009.4,--,9.7,29,6.2,NNW,13.7,WNW,10
2024-03-09 12:00:00+09:00,1006.5,1009.4,--,9.8,27,4.7,NNW,9.2,NW,10
2024-03-09 12:10:00+09:00,1006.3,1009.2,--,10.5,29,5.0,NW,12.1,NW,10
2024-03-09 12:20:00+09:00,1006.2,1009.1,--,10.3,26,6.6,NW,14.5,WNW,10
2024-03-09 12:30:00+09:00,1006.1,1009.0,--,10.1,23,4.3,NW,9.4,WNW,10
2024-03-09 12:40:00+09:00,1006.0,1008.9,--,10.3,26,5.1,NNW,11.3,NNW,10
2024-03-09 12:50:00+09:00,1006.0,1008.9,--,10.2,24,5.6,NNW,11.2,NW,10
2024-03-09 13:00:00+09:00,1005.9,1008.8,--,9.9,22,4.5,NNW,10.0,N,10
2024-03-09 13:10:00+09:00,1005.9,1008.8,--,10.1,25,5.2,NW,11.4,NW,10
2024-03-09 13:20:00+09:00,1005.8,1008.7,--,10.8,27,5.6,NW,11.4,NW,10
2024-03-09 13:30:00+09:00,1006.0,1008.9,--,10.7,28,5.3,NW,10.4,WNW,10
2024-03-09 13:40:00+09:00,1006.0,1008.9,--,10.2,26,4.5,NNW,11.1,N,10
2024-03-09 13:50:00+09:00,1005.9,1008.8,--,10.2,25,4.6,NNW,9.5,NNW,10
2024-03-09 14:00:00+09:00,1005.9,1008.8,--,10.1,23,6.5,NW,12.9,WNW,10
2024-03-09 14:10:00+09:00,1006.0,1008.9,--,10.0,25,5.0,NW,9.8,WNW,10
2024-03-09 14:20:00+09:00,1006.1,1009.0,--,10.3,26,5.0,NW,11.8,NW,10
2024-03-09 14:30:00+09:00,1006.2,1009.1,--,10.7,29,3.9,NW,7.5,NNW,10
2024-03-09 14:40:00+09:00,1006.3,1009.2,--,9.9,27,4.2,NNW,9.8,NW,10
2024-03-09 14:50:00+09:00,1006.2,1009.1,--,9.6,25,4.5,NNW,9.7,N,10
2024-03-09 15:00:00+09:00,1006.4,1009.3,--,9.8,24,4.6,NNW,11.5,N,10
2024-03-09 15:10:00+09:00,1006.5,1009.4,--,9.7,24,4.7,NNW,9.6,NNW,10
2024-03-09 15:20:00+09:00,1006.6,1009.5,--,9.8,25,5.0,NNW,9.7,NNW,10
2024-03-09 15:30:00+09:00,1006.7,1009.6,--,10.1,26,4.9,NW,10.5,NW,10
2024-03-09 15:40:00+09:00,1006.8,1009.7,--,9.3,25,4.8,NW,10.6,NW,10
2024-03-09 15:50:00+09:00,1006.9,1009.8,--,9.6,25,4.8,NNW,9.9,NNW,10
2024-03-09 16:00:00+09:00,1006.9,1009.8,--,9.0,25,4.8,NNW,11.2,NNW,10
2024-03-09 16:10:00+09:00,1007.0,1009.9,--,9.2,26,4.1,NNW,10.3,NNW,10
2024-03-09 16:20:00+09:00,1007.2,1010.1,--,8.8,25,5.0,NW,9.7,NNW,10
2024-03-09 16:30:00+09:00,1007.3,1010.2,--,8.4,26,5.2,NW,11.6,WNW,10
2024-03-09 16:40:00+09:00,1007.4,1010.4,--,8.3,24,5.9,NW,14.7,N,10
2024-03-09 16:50:00+09:00,1007.4,1010.4,--,8.3,26,5.9,NW,13.0,WNW,10
2024-03-09 17:00:00+09:00,1007.6,1010.6,--,8.1,26,4.9,NNW,11.6,WNW,10
2024-03-09 17:10:00+09:00,1007.7,1010.7,--,7.8,27,4.7,N,9.5,N,10
2024-03-09 17:20:00+09:00,1008.0,1011.0,--,8.0,25,3.4,NNW,7.9,N,10
2024-03-09 17:30:00+09:00,1008.1,1011.1,--,7.6,29,4.8,NNW,9.4,NW,10
2024-03-09 17:40:00+09:00,1008.3,1011.3,--,7.4,28,4.1,NW,10.2,NNW,1
2024-03-09 17:50:00+09:00,1008.5,1011.5,--,7.4,26,3.7,NNW,8.5,N,0
2024-03-09 18:00:00+09:00,1008.8,1011.8,--,7.5,26,3.3,NNW,7.2,NW,
2024-03-09 18:10:00+09:00,1009.1,1012.1,--,7.4,24,3.5,NNW,7.2,NW,
2024-03-09 18:20:00+09:00,1009.3,1012.3,--,7.1,26,3.7,NNW,8.0,NW,
2024-03-09 18:30:00+09:00,1009.5,1012.5,--,6.7,30,2.5,NNW,7.1,NW,
2024-03-09 18:40:00+09:00,1009.7,1012.7,--,6.6,29,3.4,NNW,10.1,NNW,
2024-03-09 18:50:00+09:00,1009.8,1012.8,--,6.5,30,4.6,NNW,9.6,N,
2024-03-09 19:00:00+09:00,1010.0,1013.0,--,6.4,31,4.6,NNW,12.7,NNW,
2024-03-09 19:10:00+09:00,1010.3,1013.3,--,6.1,32,4.0,NNW,11.2,NNW,
2024-03-09 19:20:00+09:00,1010.6,1013.6,--,6.2,31,4.5,NNW,10.6,NW,
2024-03-09 19:30:00+09:00,1010.9,1013.9,--,5.9,34,5.0,NNW,9.9,NW,
2024-03-09 19:40:00+09:00,1011.1,1014.1,--,5.7,34,4.4,NNW,10.0,NNW,
2024-03-09 19:50:00+09:00,1011.4,1014.4,--,5.5,36,4.4,NW,10.2,NW,
2024-03-09 20:00:00+09:00,1011.8,1014.8,--,5.5,35,3.7,NNW,8.3,N,
2024-03-09 20:10:00+09:00,1012.3,1015.3,--,5.4,36,4.2,NW,9.4,NW,
2024-03-09 20:20:00+09:00,1012.2,1015.2,--,5.3,37,5.1,NW,10.3,WNW,
2024-03-09 20:30:00+09:00,1012.5,1015.5,--,5.2,36,3.9,NW,8.2,NW,
2024-03-09 20:40:00+09:00,1012.5,1015.5,--,5.0,37,3.7,NW,9.3,NW,
2024-03-09 20:50:00+09:00,1012.7,1015.7,--,4.9,37,3.8,NW,8.5,WNW,
2024-03-09 21:00:00+09:00,1012.8,1015.8,--,4.6,37,4.4,NW,9.3,WNW,
2024-03-09 21:10:00+09:00,1013.1,1016.1,--,5.1,37,4.3,NW,8.0,WNW,
2024-03-09 21:20:00+09:00,1013.0,1016.0,--,4.4,40,3.6,NW,6.3,NW,
2024-03-09 21:30:00+09:00,1013.2,1016.2,--,4.4,40,3.6,NW,7.2,NW,
2024-03-09 21:40:00+09:00,1013.4,1016.4,--,4.5,39,2.2,NW,5.6,N,
2024-03-09 21:50:00+09:00,1013.5,1016.5,--,4.4,39,2.0,NNW,5.3,NNE,
2024-03-09 22:00:00+09:00,1013.5,1016.5,--,4.2,42,4.3,NW,8.1,NW,
2024-03-09 22:10:00+09:00,1013.5,1016.5,--,3.6,44,4.1,NW,6.5,NW,
2024-03-09 22:20:00+09:00,1013.5,1016.5,--,4.0,43,3.7,WNW,8.1,NW,
2024-03-09 22:30:00+09:00,1013.5,1016.5,--,3.7,44,4.8,NW,7.7,NW,
2024-03-09 22:40:00+09:00,1013.4,1016.4,--,3.6,44,2.9,WNW,5.4,WNW,
2024-03-09 22:50:00+09:00,1013.4,1016.4,--,3.4,43,3.7,NW,8.1,NNW,
2024-03-09 23:00:00+09:00,1013.6,1016.6,--,3.9,41,3.4,NW,5.9,WNW,
2024-03-09 23:10:00+09:00,1013.7,1016.7,--,3.2,46,3.3,NW,5.9,NW,
2024-03-09 23:20:00+09:00,1013.8,1016.8,--,3.3,43,2.7,WNW,5.1,NW,
2024-03-09 23:30:00+09:00,1013.9,1016.9,--,3.7,43,2.9,WNW,5.0,WNW,
2024-03-09 23:40:00+09:00,1014.1,1017.1,--,3.3,44,3.3,NW,5.5,NW,
2024-03-09 23:50:00+09:00,1014.2,1017.2,--,3.3,43,3.4,WNW,5.5,NNW,
2024-03-10 00:00:00+09:00,1014.3,1017.3,--,3.3,43,3.0,WNW,6.0,WNW,
